IDMessage;Battery;Value;W/h;amps
0;B4;2.83;;
0;B5;2.76;;
;;;192.95;1.05
0;B0;2.8;;
0;B1;2.78;;
0;B2;2.85;;
0;B3;2.79;;
0;B4;2.84;;
0;B5;2.8;;
;;;194.28;0.72
0;B0;2.8;;
0;B1;2.78;;
0;B2;2.84;;
0;B3;2.8;;
0;B4;2.86;;
0;B5;2.8;;
;;;194.32;0
0;B0;2.83;;
0;B1;2.81;;
0;B2;2.88;;
0;B3;2.83;;
0;B4;2.9;;
0;B5;2.83;;
;;;194.41;0
0;B0;2.84;;
0;B1;2.82;;
0;B2;2.88;;
0;B3;2.84;;
0;B4;2.88;;
0;B5;2.85;;
;;;194.41;0
0;B0;2.85;;
0;B1;2.83;;
0;B2;2.9;;
0;B3;2.86;;
0;B4;2.89;;
0;B5;2.84;;
;;;194.41;0
0;B0;2.85;;
0;B1;2.82;;
0;B2;2.9;;
0;B3;2.85;;
0;B4;2.89;;
0;B5;2.85;;
;;;194.41;0
0;B0;2.66;;
0;B1;2.6;;
0;B2;2.68;;
0;B3;2.6;;
0;B4;2.67;;
0;B5;2.6;;
;;;194.6;9.66
0;B0;2.78;;
0;B1;2.76;;
0;B2;2.83;;
0;B3;2.79;;
0;B4;2.84;;
0;B5;2.77;;
;;;197.89;0
0;B0;2.81;;
0;B1;2.79;;
0;B2;2.86;;
0;B3;2.81;;
0;B4;2.85;;
0;B5;2.8;;
;;;197.91;0
0;B0;2.78;;
0;B1;2.76;;
0;B2;2.83;;
0;B3;2.77;;
0;B4;2.83;;
0;B5;2.77;;
;;;200.55;0
0;B0;2.8;;
0;B1;2.78;;
0;B2;2.85;;
0;B3;2.79;;
0;B4;2.84;;
0;B5;2.79;;
;;;200.58;0
0;B0;1.94;;
0;B1;1.81;;
0;B2;1.95;;
0;B3;1.77;;
0;B4;1.92;;
0;B5;1.79;;
;;;206.7;38.1
0;B0;2.58;;
0;B1;2.53;;
0;B2;2.61;;
0;B3;2.53;;
0;B4;2.61;;
0;B5;2.55;;
;;;207.89;5.55
0;B0;2.47;;
0;B1;2.41;;
0;B2;2.51;;
0;B3;2.38;;
0;B4;2.52;;
0;B5;2.39;;
;;;210.2;12.38
0;B0;2.69;;
0;B1;2.65;;
0;B2;2.71;;
0;B3;2.66;;
0;B4;2.72;;
0;B5;2.67;;
;;;211.29;2.66
0;B0;2.34;;
0;B1;2.25;;
0;B2;2.36;;
0;B3;2.23;;
0;B4;2.36;;
0;B5;2.25;;
;;;214.88;18.38
0;B0;2.74;;
0;B1;2.71;;
0;B2;2.77;;
0;B3;2.72;;
0;B4;2.79;;
0;B5;2.72;;
;;;217.91;0
0;B0;2.76;;
0;B1;2.73;;
0;B2;2.8;;
0;B3;2.74;;
0;B4;2.82;;
0;B5;2.75;;
;;;220.04;0.72
0;B0;2.32;;
0;B1;2.24;;
0;B2;2.35;;
0;B3;2.22;;
0;B4;2.34;;
0;B5;2.24;;
;;;220.19;25.55
0;B0;2.5;;
0;B1;2.44;;
0;B2;2.53;;
0;B3;2.43;;
0;B4;2.55;;
0;B5;2.45;;
;;;223.75;11.72
0;B0;2.56;;
0;B1;2.5;;
0;B2;2.6;;
0;B3;2.5;;
0;B4;2.6;;
0;B5;2.5;;
;;;224.4;8.38
0;B0;2.77;;
0;B1;2.76;;
0;B2;2.81;;
0;B3;2.75;;
0;B4;2.82;;
0;B5;2.75;;
;;;225.33;1.11
0;B0;2.79;;
0;B1;2.76;;
0;B2;2.83;;
0;B3;2.77;;
0;B4;2.83;;
0;B5;2.78;;
;;;225.39;0
0;B0;2.75;;
0;B1;2.72;;
0;B2;2.8;;
0;B3;2.75;;
0;B4;2.8;;
0;B5;2.74;;
;;;227;1.44
0;B0;2.79;;
0;B1;2.76;;
0;B2;2.83;;
0;B3;2.76;;
0;B4;2.83;;
0;B5;2.77;;
;;;229.07;1.33
0;B0;2.81;;
0;B1;2.79;;
0;B2;2.86;;
0;B3;2.82;;
0;B4;2.89;;
0;B5;2.8;;
;;;229.17;0
0;B0;2.82;;
0;B1;2.79;;
0;B2;2.87;;
0;B3;2.8;;
0;B4;2.88;;
0;B5;2.8;;
;;;229.19;0
0;B0;2.65;;
0;B1;2.6;;
0;B2;2.68;;
0;B3;2.59;;
0;B4;2.68;;
0;B5;2.63;;
;;;229.86;8.11
0;B0;2.82;;
0;B1;2.78;;
0;B2;2.86;;
0;B3;2.83;;
0;B4;2.88;;
0;B5;2.81;;
;;;229.99;0.78
0;B0;2.84;;
0;B1;2.81;;
0;B2;2.88;;
0;B3;2.84;;
0;B4;2.9;;
0;B5;2.83;;
;;;230.12;0
0;B0;2.84;;
0;B1;2.82;;
0;B2;2.89;;
0;B3;2.82;;
0;B4;2.91;;
0;B5;2.83;;
;;;230.12;0
0;B0;2.84;;
0;B1;2.82;;
0;B2;2.89;;
0;B3;2.82;;
0;B4;2.89;;
0;B5;2.84;;
;;;230.51;0
0;B0;2.84;;
0;B1;2.82;;
0;B2;2.9;;
0;B3;2.82;;
0;B4;2.91;;
0;B5;2.83;;
;;;230.53;0
0;B0;2.84;;
0;B1;2.82;;
0;B2;2.9;;
0;B3;2.86;;
0;B4;2.9;;
0;B5;2.86;;
;;;230.53;0
0;B0;2.85;;
0;B1;2.83;;
0;B2;2.91;;
0;B3;2.86;;
0;B4;2.91;;
0;B5;2.84;;
;;;230.54;0
0;B0;2.85;;
0;B1;2.83;;
0;B2;2.91;;
0;B3;2.84;;
0;B4;2.9;;
0;B5;2.85;;
;;;230.54;0
0;B0;2.85;;
0;B1;2.84;;
0;B2;2.9;;
0;B3;2.84;;
0;B4;2.9;;
0;B5;2.84;;
;;;230.54;0
0;B0;2.86;;
0;B1;2.83;;
0;B2;2.92;;
0;B3;2.87;;
0;B4;2.93;;
0;B5;2.85;;
;;;230.54;0
0;B0;2.86;;
0;B1;2.83;;
0;B2;2.9;;
0;B3;2.84;;
0;B4;2.91;;
0;B5;2.85;;
;;;230.54;0
0;B0;2.84;;
0;B1;2.82;;
0;B2;2.9;;
0;B3;2.85;;
0;B4;2.89;;
0;B5;2.84;;
;;;231.18;0
0;B0;2.85;;
0;B1;2.83;;
0;B2;2.89;;
0;B3;2.83;;
0;B4;2.9;;
0;B5;2.83;;
;;;231.18;0
0;B0;2.78;;
0;B1;2.75;;
0;B2;2.82;;
0;B3;2.76;;
0;B4;2.83;;
0;B5;2.75;;
;;;232;3.33
0;B0;2.8;;
0;B1;2.77;;
0;B2;2.85;;
0;B3;2.79;;
0;B4;2.84;;
0;B5;2.78;;
;;;232.28;2.77
0;B0;2.85;;
0;B1;2.82;;
0;B2;2.9;;
0;B3;2.83;;
0;B4;2.92;;
0;B5;2.84;;
;;;232.62;0
0;B0;2.86;;
0;B1;2.83;;
0;B2;2.91;;
0;B3;2.86;;
0;B4;2.92;;
0;B5;2.84;;
;;;232.63;0
0;B0;2.45;;
0;B1;2.38;;
0;B2;2.49;;
0;B3;2.36;;
0;B4;2.47;;
0;B5;2.37;;
;;;233.48;19.49
0;B0;2.64;;
0;B1;2.59;;
0;B2;2.67;;
0;B3;2.59;;
0;B4;2.69;;
0;B5;2.59;;
;;;236.3;7.55
0;B0;1.93;;
0;B1;1.78;;
0;B2;1.94;;
0;B3;1.71;;
0;B4;1.93;;
0;B5;1.75;;
;;;237.2;43.32
0;B0;2.16;;
0;B1;2.04;;
