IDMessage;Battery;Value;W/h;amps
0;B1;2.59;;
0;B2;2.64;;
0;B3;2.61;;
0;B4;2.62;;
0;B5;2.59;;
;;;332.50;2.86
0;B0;2.72;;
0;B1;2.71;;
0;B2;2.78;;
0;B3;2.71;;
0;B4;2.75;;
0;B5;2.70;;
;;;332.70;0.75
0;B0;2.25;;
0;B1;2.24;;
0;B2;2.29;;
0;B3;2.17;;
0;B4;2.27;;
0;B5;2.24;;
;;;334.93;21.14
0;B0;2.40;;
0;B1;2.36;;
0;B2;2.43;;
0;B3;2.32;;
0;B4;2.41;;
0;B5;2.36;;
;;;337.79;13.36
0;B0;2.69;;
0;B1;2.67;;
0;B2;2.74;;
0;B3;2.67;;
0;B4;2.72;;
0;B5;2.67;;
;;;339.44;0.00
0;B0;1.99;;
0;B1;1.96;;
0;B2;2.01;;
0;B3;1.88;;
0;B4;1.97;;
0;B5;1.94;;
;;;344.60;30.86
0;B0;2.54;;
0;B1;2.53;;
0;B2;2.59;;
0;B3;2.50;;
0;B4;2.55;;
0;B5;2.51;;
;;;347.32;5.03
0;B0;2.36;;
0;B1;2.31;;
0;B2;2.39;;
0;B3;2.30;;
0;B4;2.35;;
0;B5;2.31;;
;;;349.89;14.53
0;B0;2.04;;
0;B1;1.97;;
0;B2;2.05;;
0;B3;1.93;;
0;B4;2.00;;
0;B5;1.94;;
;;;352.83;28.30
0;B0;1.91;;
0;B1;1.85;;
0;B2;1.94;;
0;B3;1.79;;
0;B4;1.87;;
0;B5;1.82;;
;;;360.59;34.58
0;B0;1.90;;
0;B1;1.82;;
0;B2;1.92;;
0;B3;1.78;;
0;B4;1.86;;
0;B5;1.81;;
;;;366.04;32.36
0;B0;2.01;;
0;B1;1.95;;
0;B2;2.04;;
0;B3;1.92;;
0;B4;1.98;;
0;B5;1.93;;
;;;370.24;26.08
0;B0;2.74;;
0;B1;2.74;;
0;B2;2.79;;
0;B3;2.73;;
0;B4;2.76;;
0;B5;2.71;;
;;;372.10;0.00
0;B0;2.72;;
0;B1;2.72;;
0;B2;2.77;;
0;B3;2.72;;
0;B4;2.74;;
0;B5;2.70;;
;;;373.80;0.00
0;B0;2.76;;
0;B1;2.75;;
0;B2;2.80;;
0;B3;2.75;;
0;B4;2.78;;
0;B5;2.73;;
;;;373.86;0.00
0;B0;2.21;;
0;B1;2.15;;
0;B2;2.23;;
0;B3;2.11;;
0;B4;2.18;;
0;B5;2.13;;
;;;374.87;23.36
0;B0;2.39;;
0;B1;2.35;;
0;B2;2.44;;
0;B3;2.33;;
0;B4;2.39;;
0;B5;2.34;;
;;;377.50;11.70
0;B0;2.68;;
0;B1;2.68;;
0;B2;2.73;;
0;B3;2.67;;
0;B4;2.69;;
0;B5;2.66;;
;;;378.83;1.92
0;B0;2.74;;
0;B1;2.74;;
0;B2;2.78;;
0;B3;2.75;;
0;B4;2.78;;
0;B5;2.73;;
;;;379.47;0.00
0;B0;2.75;;
0;B1;2.74;;
0;B2;2.79;;
0;B3;2.74;;
0;B4;2.77;;
0;B5;2.73;;
;;;379.50;0.00
0;B0;2.77;;
0;B1;2.78;;
0;B2;2.82;;
0;B3;2.77;;
0;B4;2.80;;
0;B5;2.75;;
;;;379.67;0.00
0;B0;2.80;;
0;B1;2.81;;
0;B2;2.85;;
0;B3;2.79;;
0;B4;2.83;;
0;B5;2.78;;
;;;379.67;0.00
0;B0;2.81;;
0;B1;2.81;;
0;B2;2.85;;
0;B3;2.80;;
0;B4;2.83;;
0;B5;2.79;;
;;;379.67;0.00
0;B0;2.81;;
0;B1;2.82;;
0;B2;2.85;;
0;B3;2.81;;
0;B4;2.85;;
0;B5;2.79;;
;;;379.67;0.00
0;B0;2.82;;
0;B1;2.83;;
0;B2;2.87;;
0;B3;2.81;;
0;B4;2.85;;
0;B5;2.80;;
;;;379.67;0.00
0;B0;2.82;;
0;B1;2.82;;
0;B2;2.87;;
0;B3;2.82;;
0;B4;2.85;;
0;B5;2.80;;
;;;379.67;0.00
0;B0;2.83;;
0;B1;2.83;;
0;B2;2.88;;
0;B3;2.82;;
0;B4;2.86;;
0;B5;2.81;;
;;;379.67;0.00
0;B0;2.83;;
0;B1;2.83;;
0;B2;2.87;;
0;B3;2.82;;
0;B4;2.85;;
0;B5;2.81;;
;;;379.67;0.00
0;B0;2.83;;
